Question,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Answer,Order,Featured,Categories
"What is a home sleep test, and how does it work?",what-is-a-home-sleep-test-and-how-does-it-work,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a7898eac64af0ea6a20,false,false,Sat Jul 05 2025 01:06:00 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"A home sleep test is a convenient way to assess for sleep apnea from the comfort of your own bed. You’ll receive a FDA-approved small device that monitors your breathing, oxygen levels, and heart rate overnight. After the test, our sleep specialists analyze the data to provide an accurate diagnosis and tell you if you have sleep apnea. No need to visit any doctors or any sleep clinic, all of this from the comfort of your home",,true,general
What is a home sleep test?,what-is-a-home-sleep-test,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,693896ad2fed5cdf75661ef2,false,false,Tue Dec 09 2025 21:37:49 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"A small finger-worn device tracks how you breathe, how your heart beats, how much oxygen you have, and how long you sleep. It uses a light sensor on your finger and connects to an app on your phone. All the data is combined into one score that shows how many times your breathing slows or stops each hour.",,false,hst
What is an At-home sleep test?,what-is-an-at-home-sleep-test,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,695ff3ecf593c3fa5dca62b8,false,false,Thu Jan 08 2026 18:14:04 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:14:06 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:15:22 GMT+0000 (Coordinated Universal Time),"A small finger-worn device tracks how you breathe, how your heart beats, how much oxygen you have, and how long you sleep. It uses a light sensor on your finger and connects to an app on your phone. All the data is combined into one score that shows how many times your breathing slows or stops each hour.",,false,trucker
What is sleep apnea?,what-is-sleep-apnea,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a791da1456749778b61,false,false,Sat Jul 05 2025 01:06:01 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"Sleep apnea is a condition where breathing repeatedly stops and starts during sleep, leading to disrupted rest and potential health risks. Common symptoms include loud snoring, daytime fatigue, and morning headaches. Learn more by clicking here.",,false,general
What is this bundle?,what-is-this-bundle,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938af889da0c9faba40865b,false,false,Tue Dec 09 2025 23:23:52 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),It’s a plan that sends you the CPAP parts you need all year. You don’t have to remember anything. Fresh pieces just show up.,,false,resupply
What kind of support do I get after I start therapy?,what-kind-of-support-do-i-get-after-i-start-therapy,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,694459fc66bc6de36761da0b,false,false,Thu Dec 18 2025 19:46:04 GMT+0000 (Coordinated Universal Time),Thu Dec 18 2025 19:46:38 GMT+0000 (Coordinated Universal Time),Thu Dec 18 2025 20:12:01 GMT+0000 (Coordinated Universal Time),You will have access to ongoing coaching and in app guidance through your Dumbo Health dashboard including nightly reports AI insights and treatment information.,,false,cpap
What makes Dumbo Health's sleep coaches special?,what-makes-dumbos-sleep-coaches-special,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a7b8bcab9dcb1beb9b6,false,false,Sat Jul 05 2025 01:06:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),"Our dedicated sleep coaches and doctors offer personalized guidance based on your unique data, provide ongoing support, and ensure you're always comfortable with your treatment. They're here to help you succeed every step of the way!",,false,general
What makes Dumbo Health’s service different?,what-makes-dumbo-healths-service-different,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,693896add995a4660a619a01,false,false,Tue Dec 09 2025 21:37:49 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Board-certified sleep specialists read your results. FDA-cleared devices are used for testing and diagnosis. You get support through each step.,,false,hst
What makes a prescription invalid?,what-makes-a-prescription-invalid,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938aa1e2026c674efc58d34,false,false,Tue Dec 09 2025 23:00:46 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"- Blurry images
- Missing provider details
- Missing pressure settings for CPAP/APAP
- No indication of therapy type
- Prescriptions from non-U.S. providers If invalid, you’ll be asked to upload a corrected version.
",,false,prescription
When will I receive my results?,when-will-i-receive-my-results,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a78af11d390de5f4ac7,false,false,Sat Jul 05 2025 01:06:00 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Our team typically analyzes the data and provides results within a few days (most results within 48h). We’ll then discuss the findings and next steps with you.,,true,general
Why do I need new parts?,why-do-i-need-new-parts,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938af89f0316b1bcda34efa,false,false,Tue Dec 09 2025 23:23:53 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),"CPAP parts get old, dirty, or worn out. When that happens, sleep gets worse. New parts keep the machine working the right way.",,false,resupply
Why do I need to upload a prescription?,why-do-i-need-to-upload-a-prescription,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938a925847f0613411b2410,false,false,Tue Dec 09 2025 22:56:37 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Sleep apnea treatments like CPAP machines and masks are regulated medical devices. A valid prescription is required before we can process your order or ship any equipment.,,false,prescription
Why do I pay monthly if deliveries come every three months?,why-do-i-pay-monthly-if-deliveries-come-every-three-months,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938af88493a75b17d2f98e3,false,false,Tue Dec 09 2025 23:23:52 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Paying monthly keeps the cost small and steady. But the boxes still come every quarter.,,false,resupply
Why is testing important?,why-is-testing-important,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,693896adb08331ce30934c6e,false,false,Tue Dec 09 2025 21:37:49 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),"When your throat narrows during sleep, your oxygen drops. This stresses your heart, brain, and the rest of your organs. Untreated sleep apnea is linked to diabetes, stroke, heart attack, daytime sleepiness, and loss of sexual energy.",,false,hst
Why this plan instead of buying things one by one?,why-this-plan-instead-of-buying-things-one-by-one,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938af895d190ed052e0d7db,false,false,Tue Dec 09 2025 23:23:53 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"It’s cheaper than buying separately, easier to manage, and keeps your therapy on track without effort.",,false,resupply
Will I lose support if I do not go through insurance?,will-i-lose-support-if-i-do-not-go-through-insurance,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,69495ce613903e67c57903f0,false,false,Mon Dec 22 2025 14:59:50 GMT+0000 (Coordinated Universal Time),Mon Dec 22 2025 14:59:54 GMT+0000 (Coordinated Universal Time),Mon Dec 22 2025 15:01:33 GMT+0000 (Coordinated Universal Time),"No. Our team provides coaching, mask fit help, and Telehealth visits so you get results without the usual hassle.",,false,cashpay
Will my examiner accept this?,will-my-examiner-accept-this,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6941e731dd24dbd6be103ed2,false,false,Tue Dec 16 2025 23:11:45 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:24:57 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:24:57 GMT+0000 (Coordinated Universal Time),Yes. Our reports are built for DOT exams and include the clinical details examiners look for. Thousands of drivers use home sleep tests like this every year to stay certified.,,false,trucker
Will my insurance cover the at-home sleep test?,will-my-insurance-cover-the-at-home-sleep-test,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a7827acc9bb4fa60855,false,false,Sat Jul 05 2025 01:06:00 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"At the moment, Dumbo Health is out-of-pocket, but insurance coverage is coming very soon! Click here to join our waiting list. Remember, once you factor in co-pays, deductibles, and extra fees from traditional insurance, our at-home sleep test often turns out to be more affordable than using your insurance.",,false,general
Will someone help me set up my CPAP?,will-someone-help-me-set-up-my-cpap,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,694459fc3f0950f067efb6ce,false,false,Thu Dec 18 2025 19:46:04 GMT+0000 (Coordinated Universal Time),Thu Dec 18 2025 19:46:38 GMT+0000 (Coordinated Universal Time),Thu Dec 18 2025 20:12:01 GMT+0000 (Coordinated Universal Time),Yes. We provide guided onboarding with an expert to help you get ready for your first night including setup support and answers to common questions.,,false,cpap
Will this help my sleep?,will-this-help-my-sleep,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938af894902e19dc7b7eeb1,false,false,Tue Dec 09 2025 23:23:53 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),"Yes. Clean, fresh parts make it easier to breathe, reduce leaks, and help you stay asleep longer.",,false,resupply
